sample 1:
[4,0,9,0,0,8,0,3,0]
[7,5,0,0,3,2,0,1,8]
[0,0,0,5,0,0,2,0,6]
[8,0,0,0,0,3,9,0,0]
[0,3,0,0,4,0,0,7,5]
[0,0,1,2,0,7,0,0,0]
[0,0,8,4,0,0,0,0,9]
[0,1,0,0,0,9,0,4,0]
[2,0,0,7,1,0,8,5,0]

sample 1 solution:
[4, 2, 9, 1, 6, 8, 5, 3, 7]
[7, 5, 6, 9, 3, 2, 4, 1, 8]
[1, 8, 3, 5, 7, 4, 2, 9, 6]
[8, 4, 7, 6, 5, 3, 9, 2, 1]
[9, 3, 2, 8, 4, 1, 6, 7, 5]
[5, 6, 1, 2, 9, 7, 3, 8, 4]
[3, 7, 8, 4, 2, 5, 1, 6, 9]
[6, 1, 5, 3, 8, 9, 7, 4, 2]
[2, 9, 4, 7, 1, 6, 8, 5, 3]

sample 2:
[0,3,0,0,7,0,0,0,0]
[6,0,0,1,0,5,0,0,0]
[0,9,8,0,0,0,0,6,0]
[8,0,0,0,6,0,0,0,3]
[4,0,0,8,0,3,0,0,1]
[7,0,0,0,2,0,0,0,6]
[0,6,0,0,0,0,2,8,0]
[0,0,0,4,1,9,0,0,5]
[0,0,0,0,8,0,0,7,9]

sample 2 solution:
[5, 3, 4, 6, 7, 8, 9, 1, 2]
[6, 7, 2, 1, 9, 5, 3, 4, 8]
[1, 9, 8, 3, 4, 2, 5, 6, 7]
[8, 5, 9, 7, 6, 1, 4, 2, 3]
[4, 2, 6, 8, 5, 3, 7, 9, 1]
[7, 1, 3, 9, 2, 4, 8, 5, 6]
[9, 6, 1, 5, 3, 7, 2, 8, 4]
[2, 8, 7, 4, 1, 9, 6, 3, 5]
[3, 4, 5, 2, 8, 6, 1, 7, 9]

sample 3:
[0,0,0,0,0,0,0,0,0]
[0,0,0,0,0,3,0,8,5]
[0,0,1,0,2,0,0,0,0]
[0,0,0,5,0,7,0,0,0]
[0,0,4,0,0,0,1,0,0]
[0,9,0,0,0,0,0,0,0]
[5,0,0,0,0,0,0,7,3]
[0,0,2,0,1,0,0,0,0]
[0,0,0,0,4,0,0,0,9]

sample 3 solution:
[9, 8, 7, 6, 5, 4, 3, 2, 1]
[2, 4, 6, 1, 7, 3, 9, 8, 5]
[3, 5, 1, 9, 2, 8, 7, 4, 6]
[1, 2, 8, 5, 3, 7, 6, 9, 4]
[6, 3, 4, 8, 9, 2, 1, 5, 7]
[7, 9, 5, 4, 6, 1, 8, 3, 2]
[5, 1, 9, 2, 8, 6, 4, 7, 3]
[4, 7, 2, 3, 1, 9, 5, 6, 8]
[8, 6, 3, 7, 4, 5, 2, 1, 9]
